Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"07/06/2020 12","35.01","34.14","9571.0"
"07/06/2020 13","35.05","34.14","9612.0"
"07/06/2020 14","36.09","34.14","9655.0"
"07/06/2020 15","36.85","34.14","9708.0"
"07/06/2020 16","37.02","34.14","9773.0"
"07/06/2020 17","37.34","34.14","9826.0"
"07/06/2020 18","39.73","34.15","9850.0"
"07/06/2020 19","37.52","34.16","9670.0"
"07/06/2020 20","34.25","34.16","9484.0"
"07/06/2020 21","34.05","34.17","9306.0"
"07/06/2020 22","32.95","34.17","9136.0"
"07/06/2020 23","32.35","34.18","8999.0"
"07/06/2020 24","30.29","34.19","8700.0"
"07/07/2020 01","30.56","34.20","8507.0"
"07/07/2020 02","30.18","34.21","8378.0"
"07/07/2020 03","28.44","34.23","8287.0"
"07/07/2020 04","28.79","34.24","8278.0"
"07/07/2020 05","28.75","34.25","8238.0"
"07/07/2020 06","28.82","34.27","8214.0"
"07/07/2020 07","30.12","34.28","8458.0"
"07/07/2020 08","28.77","34.31","8822.0"
"07/07/2020 09","30.89","34.33","9119.0"
"07/07/2020 10","30.96","34.33","9285.0"
"07/07/2020 11","32.52","34.33","9436.0"
"07/07/2020 12","34.34","34.34","9537.0"
"07/07/2020 13","34.15","34.35","9604.0"
"07/07/2020 14","32.08","34.36","9625.0"
"07/07/2020 15","30.96","34.37","9591.0"
"07/07/2020 16","30.91","34.37","9635.0"
"07/07/2020 17","29.38","34.37","9613.0"
"07/07/2020 18","28.78","34.36","9554.0"
"07/07/2020 19","25.56","34.35","9298.0"
"07/07/2020 20","24.39","34.34","9159.0"
"07/07/2020 21","24.51","34.32","9061.0"
"07/07/2020 22","25.76","34.31","8994.0"
"07/07/2020 23","25.98","34.30","8815.0"
"07/07/2020 24","28.37","34.30","8567.0"
"07/08/2020 01","27.92","34.29","8347.0"
"07/08/2020 02","20.94","34.29","8167.0"
"07/08/2020 03","17.79","34.28","8056.0"
"07/08/2020 04","1.44","34.24","8003.0"
"07/08/2020 05","0.00","34.20","8058.0"
"07/08/2020 06","0.00","34.15","8125.0"
"07/08/2020 07","0.00","34.11","8300.0"
"07/08/2020 08","6.37","34.07","8614.0"
"07/08/2020 09","14.71","34.05","8925.0"
"07/08/2020 10","14.07","34.02","9149.0"
"07/08/2020 11","19.86","34.00","9288.0"
"07/08/2020 12","23.39","33.99","9429.0"
"07/08/2020 13","24.54","33.99","9388.0"
"07/08/2020 14","26.29","33.98","9380.0"
"07/08/2020 15","24.85","33.97","9380.0"
"07/08/2020 16","21.50","33.96","9392.0"
"07/08/2020 17","24.29","33.95","9421.0"
"07/08/2020 18","28.45","33.94","9428.0"
"07/08/2020 19","29.32","33.94","9244.0"
"07/08/2020 20","34.36","33.96","9098.0"
"07/08/2020 21","34.55","33.98","9006.0"
"07/08/2020 22","34.76","34.00","8931.0"
"07/08/2020 23","34.71","34.00","8829.0"
"07/08/2020 24","33.57","34.01","8578.0"
"07/09/2020 01","29.33","34.02","8302.0"
"07/09/2020 02","29.14","34.03","8182.0"
"07/09/2020 03","27.95","34.03","8059.0"
"07/09/2020 04","27.67","34.03","8031.0"
"07/09/2020 05","27.67","34.03","8092.0"
"07/09/2020 06","27.76","34.04","8129.0"
"07/09/2020 07","27.58","34.05","8288.0"
"07/09/2020 08","27.86","34.05","8643.0"
"07/09/2020 09","28.19","34.06","8977.0"
"07/09/2020 10","30.03","34.07","9201.0"
"07/09/2020 11","34.60","34.08","9401.0"
"07/09/2020 12","34.80","34.08","9571.0"
"07/09/2020 13","34.85","34.09","9651.0"
"07/09/2020 14","37.38","34.10","9694.0"
"07/09/2020 15","37.44","34.11","9684.0"
"07/09/2020 16","37.43","34.11","9653.0"
"07/09/2020 17","37.47","34.13","9652.0"
"07/09/2020 18","38.63","34.16","9684.0"
"07/09/2020 19","37.92","34.18","9531.0"
"07/09/2020 20","37.32","34.21","9358.0"
"07/09/2020 21","37.23","34.23","9209.0"
"07/09/2020 22","32.26","34.23","9076.0"
"07/09/2020 23","33.73","34.24","8948.0"
"07/09/2020 24","29.06","34.24","8636.0"
"07/10/2020 01","26.94","34.25","8448.0"
"07/10/2020 02","24.42","34.26","8293.0"
"07/10/2020 03","23.14","34.26","8197.0"
"07/10/2020 04","22.96","34.27","8120.0"
"07/10/2020 05","21.65","34.27","8129.0"
"07/10/2020 06","21.05","34.27","8144.0"
"07/10/2020 07","20.29","34.27","8334.0"
"07/10/2020 08","16.99","34.26","8664.0"
"07/10/2020 09","18.28","34.25","8969.0"
"07/10/2020 10","25.42","34.24","9210.0"
"07/10/2020 11","29.25","34.24","9339.0"
"07/10/2020 12","29.26","34.23","9491.0"
"07/10/2020 13","29.42","34.23","9540.0"
"07/10/2020 14","32.06","34.23","9556.0"
"07/10/2020 15","33.94","34.23","9549.0"
"07/10/2020 16","34.17","34.23","9609.0"
"07/10/2020 17","34.32","34.23","9614.0"
"07/10/2020 18","34.92","34.23","9618.0"
"07/10/2020 19","37.30","34.24","9470.0"
"07/10/2020 20","29.78","34.23","9347.0"
"07/10/2020 21","29.36","34.23","9205.0"
"07/10/2020 22","29.30","34.23","9057.0"
"07/10/2020 23","29.31","34.23","8971.0"
"07/10/2020 24","29.07","34.23","8672.0"
"07/11/2020 01","28.12","34.23","8453.0"
"07/11/2020 02","25.17","34.23","8278.0"
"07/11/2020 03","19.72","34.22","8137.0"
"07/11/2020 04","18.13","34.21","8069.0"
"07/11/2020 05","18.64","34.21","8027.0"
"07/11/2020 06","18.67","34.20","7948.0"
"07/11/2020 07","18.67","34.19","7969.0"
"07/11/2020 08","19.28","34.17","8153.0"
"07/11/2020 09","26.50","34.16","8407.0"
"07/11/2020 10","29.38","34.16","8687.0"
"07/11/2020 11","30.65","34.15","8961.0"
"07/11/2020 12","32.41","34.15","9053.0"
"07/11/2020 13","36.36","34.15","9108.0"
"07/11/2020 14","34.79","34.15","9130.0"
"07/11/2020 15","34.71","34.15","9196.0"
"07/11/2020 16","34.70","34.12","9258.0"
"07/11/2020 17","34.77","33.68","9357.0"
"07/11/2020 18","34.78","33.64","9441.0"
"07/11/2020 19","34.61","33.63","9336.0"
"07/11/2020 20","34.19","33.61","9166.0"
"07/11/2020 21","30.10","33.60","9076.0"
"07/11/2020 22","32.26","33.60","8951.0"
"07/11/2020 23","32.85","33.60","8893.0"
"07/11/2020 24","30.21","33.59","8642.0"
"07/12/2020 01","25.59","33.59","8465.0"
"07/12/2020 02","18.06","33.57","8326.0"
"07/12/2020 03","11.04","33.54","8233.0"
"07/12/2020 04","10.05","33.52","8182.0"
"07/12/2020 05","13.44","33.49","8157.0"
"07/12/2020 06","16.32","33.48","8025.0"
"07/12/2020 07","10.77","33.45","7979.0"
"07/12/2020 08","15.26","33.43","8122.0"
"07/12/2020 09","18.22","33.41","8359.0"
"07/12/2020 10","24.64","33.39","8645.0"
"07/12/2020 11","26.11","33.36","8868.0"
"07/12/2020 12","26.11","33.35","8964.0"
"07/12/2020 13","26.11","33.33","8968.0"
"07/12/2020 14","25.02","33.30","8985.0"
"07/12/2020 15","23.27","33.26","8927.0"
"07/12/2020 16","23.81","33.23","8882.0"
"07/12/2020 17","25.50","33.20","9053.0"
"07/12/2020 18","27.79","32.89","9135.0"
"07/12/2020 19","28.20","32.86","9044.0"
"07/12/2020 20","21.62","32.84","8875.0"
"07/12/2020 21","19.96","32.83","8729.0"
"07/12/2020 22","27.49","32.82","8676.0"
"07/12/2020 23","29.27","32.82","8599.0"
"07/12/2020 24","28.09","32.81","8418.0"
"07/13/2020 01","29.38","32.80","8200.0"
"07/13/2020 02","26.86","32.80","8048.0"
"07/13/2020 03","23.25","32.80","8005.0"
"07/13/2020 04","19.55","32.80","7993.0"
"07/13/2020 05","18.92","32.79","7994.0"
"07/13/2020 06","17.66","32.79","8015.0"
"07/13/2020 07","18.89","32.78","8176.0"
"07/13/2020 08","21.55","32.77","8512.0"
"07/13/2020 09","23.37","32.76","8842.0"
"07/13/2020 10","22.65","32.74","9036.0"
"07/13/2020 11","25.79","32.73","9217.0"
"07/13/2020 12","27.08","32.72","9281.0"
"07/13/2020 13","27.03","32.68","9321.0"
"07/13/2020 14","27.11","32.65","9335.0"
"07/13/2020 15","24.76","32.62","9351.0"
"07/13/2020 16","24.88","32.58","9364.0"
"07/13/2020 17","30.50","32.53","9372.0"
"07/13/2020 18","32.97","32.44","9282.0"
"07/13/2020 19","29.20","32.36","9135.0"
"07/13/2020 20","26.73","32.05","8964.0"
"07/13/2020 21","26.91","32.05","8817.0"
"07/13/2020 22","33.02","32.07","8686.0"
"07/13/2020 23","33.37","32.08","8660.0"
"07/13/2020 24","29.19","32.09","8435.0"
"07/14/2020 01","22.49","32.08","8234.0"
"07/14/2020 02","19.50","32.07","8080.0"
"07/14/2020 03","16.26","32.06","8058.0"
"07/14/2020 04","12.80","32.05","8072.0"
"07/14/2020 05","11.19","32.04","8093.0"
"07/14/2020 06","14.67","32.04","8097.0"
